id,title,abstract
1,中国典型自然灾害及粮食灾损特征,中国是一个自然灾害频发的国家，研究其自然灾害演变特征及粮食灾损规律，对实现中国社会经济可持续发展、解决中国粮食安全问题具有重要意义。本文先基于Python语言编程获取1949-2015年中国31省市自然灾害造成的受灾、成灾、绝收面积，构建灾害强度指数分析不同灾种的时序特征分异，利用趋势分析、ESDA方法分析不同灾种在省域空间的分布特征及冷热区;再获取1949-2015年粮食种植数据，通过粮食灾损估算模型、定义粮食灾损率、地理空间探测器，计算并检验中国粮食损失时空特征及分异性。结果表明:(1)相比受灾面积曲线，本文构建的灾害程度指数能够更好揭示自然灾害时序演变特征;(2)1949-2015年期间中国两大主力灾害(洪灾、旱灾)交替出现，未来5~10年以洪灾为主;(3)灾种排序旱灾洪灾风雹低温台风，其中旱灾、洪灾受灾占比过半;(4)省域不同灾种间空间趋势变化特征明显，区域受灾面积东部西部，北部南部，且北部灾种单一、南部多灾并发;(5)自然灾害受灾总和、旱灾、雹灾、低温空间上全局自相关性不显著，呈随机模式分布，洪涝、台风在空间分布上具有显著的全局自相关性，呈集聚模式;(6)1949-2015年灾害、灾损量、灾损率整体时序趋势呈现先升后降，2000年为临界点，空间分布具有异质性，单因子解释力度差异显著，多因子交互均呈非线性增强关系，胡焕庸线两侧冷热点分布呈两极化且其重心向北迁移。建议政府加强除旱减雹(西北)、除旱排内涝(东北)、排涝防冻(中部)、排涝预台(东南沿海)等工程技术措施;同时西北(环境恶劣)、东北(中国粮仓)应作为防灾减灾重点保护区，制定专项保护方案，以保证中国粮食丰产增收。
2, 20世纪以来中国数学课程标准中数学建模内涵的发展,采用主题质性文本分析法，综合梳理中国1902—2018年小学、初中、高中的数学课程纲领性文本(教学大纲、课程标准)中数学建模的内涵.研究发现:长期以来，中国数学大纲中没有"数学建模"的提法，1996年的高中大纲中首次出现"数学模型"一词;大纲(课标)对"数学建模"过程的描述从不完备的"四阶段循环模型"逐步发展成"七阶段循环模型";21世纪以来，高中课标对"数学建模"的重视程度与具体要求显著高于义务教育阶段，但缺乏情感态度的描述.基于这些发现，文章最后提出了关于数学建模教与学实践的启示.
3,实时目标检测算法YOLOv3的检测,实时目标检测算法YOLOv3的检测速度较快且精度良好，但存在边界框定位不够精确、难以区分重叠物体等不足。提出了Attention-YOLO算法，该算法借鉴了基于项的注意力机制，将通道注意力及空间注意力机制加入特征提取网络之中，使用经过筛选加权的特征向量来替换原有的特征向量进行残差融合，同时添加二阶项来减少融合过程中的信息损失并加速模型收敛。通过在COCO和PASCAL VOC数据集上的实验表明，该算法有效降低了边界框的定位误差并提升了检测精度。相比YOLOv3算法在COCO测试集上的mAP_(@IoU[0.5:0.95])提升了最高2.5 mAP，在PASCAL VOC 2007测试集上达到了最高81.9 mAP。
4,BigDog四足机器人关键技术分析,对Big Dog四足机器人的核心技术进行分析，适应复杂地形是Big Dog的设计主线。提高横、纵自由度联动能力是Big Dog结构设计主要突破点。机体重心颠簸起伏、机体重心自扰动等不良运动特性是四足机器人控制难度大的主要原因。液压动力系统的构成和优点将被剖析，解决腿类移动装置的驱动问题是液压系统研发的根本目的。支撑腿打滑及俯仰和横滚角度是否过大作为监测机体运动安全状态的参数。惯导和关节编码器可检测机身与肢体的状态，借助压力传感器可还原落足点地形，三者合一可构建虚拟模型。借助虚拟模型可求算机体重心等关键控制处理中间参数，运动控制系统可实施粗略的动作预演及精确的运动学和动力学规划。规划模型与样机模型的偏差作为反馈值实施闭环控制。建立以三维激光扫描仪和双目视觉为主的导航系统，视觉地形还原功能可帮助LS3安全跨越岩石地形，软件系统将各种基本功能整合为有机的整体。机器人的自主性与智能性被讨论，利用Big Dog/LS3与好奇号火星探测器作对比并加以分析。Big Dog目前存在的几个主要问题:液压系统无法瞬时大幅增压、机械传动各种损伤、仿生设计的不彻底性。LS3机器人针对Big Dog的不足，多个改进环节被分析。猎豹、野猫、Petman等机器人被简要分析。阿特拉斯双足机器人借助虚拟模型可实现机械臂碰撞保护功能，遭受外力撞击可迅速恢复平衡状态。
5,大数据流式计算:关键技术及系统实例,大数据计算主要有批量计算和流式计算两种形态，目前，关于大数据批量计算系统的研究和讨论相对充分，而如何构建低延迟、高吞吐且持续可靠运行的大数据流式计算系统是当前亟待解决的问题且研究成果和实践经验相对较少.总结了典型应用领域中流式大数据所呈现出的实时性、易失性、突发性、无序性、无限性等特征，给出了理想的大数据流式计算系统在系统结构、数据传输、应用接口、高可用技术等方面应该具有的关键技术特征，论述并对比了已有的大数据流式计算系统的典型实例，最后阐述了大数据流式计算系统在可伸缩性、系统容错、状态一致性、负载均衡、数据吞吐量等方面所面临的技术挑战.
6,基于分布式数据流的大数据分类模型和算法,大数据是需求驱动的概念.随着数据库系统的普及和因特网服务的扩张，企业或者个人可用的数据正在膨胀，已有的技术很难满足大数据时代的数据分析需求，因此需要探索新的理论和方法来支撑大数据的应用.虽然大数据的4V属性已经被广泛讨论，但是它们大多描述的仍然是大数据的表象，所以很难从中抽象出统一的数据格式，因而进一步寻找可用于数据格式化的技术特征是必要的.面向于以分布式和流动性为主要技术特征的大数据应用需求，文中以分布式数据流为数据表达载体，在此基础上设计对应的大数据分类模型和挖掘算子.同时针对大数据的分类挖掘需要解决的关键问题来构建关键步骤对应的算法.理论上证明了文中给出的微簇合并技术和样本数据重构方法的合理性.实验表明:文中提出的基于分布式数据流的大数据的分类模型及算法不仅能大幅度地减少网络节点间的通讯代价，而且可以获得平均10%左右的全局挖掘精度的提升(对比已有的典型算法DS-means);虽然时间花费略高于DS-means，但是两者在不同的数据容量测试下相差很小、且时间攀升趋势相当.
7,H-Tree:一种面向大数据流在线监测的层次索引,随着计算机网络的迅猛发展和大数据时代的到来，数据越来越频繁地呈现出多属性异构的特点.这种包含多种不同类型属性的大数据流称为异构大数据流(Heterogeneous Big Data Streams).在面向大规模数据在线监测分析的应用中，通常需要在异构大数据流上注册大规模监测规则.因此，对于每一个数据流元组，必须用最小的计算开销满足所有的规则.同时，由于大数据流上监测规则集异常庞大，提高规则监测的性能是大规模数据流在线监测的关键.基于此，该文提出一种层次化的索引结构H-Tree及其在线规则匹配算法.具体的，H-Tree将大数据流上的属性集划分为离散型属性和连续型属性.基于不同的属性集，构建两层索引结构:在第1层，通过改进的红黑树对离散型谓词构建触发索引;在第2层，通过量化连续型谓词构建多维索引结构.H-Tree的在线规则匹配算法利用关联关系表对两层索引的监测结果进行融合过滤.实验分析表明，与经典的R+方法相比较，H-Tree通过层次化的索引结构，在不降低准确度的前提下，显著提升了大数据流的监测效率.
8,智能电网大数据流式处理方法与状态监测异常检测,针对智能电网大数据流的实时性、易失性、无序性等特点，提出智能电网大数据的实时流处理框架，实现数据收集、数据缓冲与流式计算，满足状态监测异常检测与用电数据分析等快速处理需要。通过采集系统节点监听数据源变化并实时收集数据，利用消息订阅模式对数据进行缓冲，解决数据采集与流式计算速度不一致的问题。提出一种基于Storm的状态监测数据流滑动窗口处理方法，在规定时间内分批处理状态监测数据流，保证数据的连续计算，通过阈值判断进行异常检测。实验结果表明，在集群规模一定的条件下，适当地改变工作进程数以及执行器线程的并发数设置，可以增大滑动窗口的元件吞吐量，提高状态监测异常检测的实时处理效率。
9,大数据政府创新:基于数据流的公共价值创造,本文讨论了政府大数据的构成及其特点，分析了政府利用大数据能够解决的公共治理难题。构建了基于大数据流的公共价值创造分析框架，并以此为理论基础阐释了大数据政府创新公共价值实现的要件。最后从大数据管理局的设立、数据开放、大数据国家战略以及大数据人力资源四个方面探讨了我国国家和地方层面大数据政府创新的现状和面临的挑战。
10,面向大数据流的多任务加速在线学习算法,多任务在线学习框架采用直接数据处理的流式计算模式，是大数据流分析很有前途的一种工具.然而目前的多任务在线学习算法收敛率低，仅为O(1/T1/2)，T为算法迭代次数.提出一种新颖的多任务加速在线学习算法ADA-MTL(accelerated dual averaging method for multi-task learning)，在保持多任务在线学习快捷计算优势的基础上，达到最优收敛率O(1/T2).对多任务权重学习矩阵Wt的迭代闭式解表达式进行了推导，对提出算法的收敛性进行了详细的理论分析.实验表明，提出的多任务加速在线学习算法能够更好地保障大数据流处理的实时性和可伸缩性，有较广泛的实际应用价值.
